RAM(MB),Cores,Workload_GPU(%),Workload_CPU(%),YOLOtime(s)
3000,1,64.5,40,3.132229
3000,1,64.5,40,2.569174
3000,1,64.5,40,3.230593
3000,1,64.5,40,2.555598
3000,1,64.5,40,3.489457
3000,1,64.5,40,2.583201
3000,1,64.5,40,2.703762
3000,1,64.5,40,3.215354
3000,1,64.5,40,2.499103
3000,1,64.5,40,3.128818
3000,1,64.5,40,3.071943
3000,1,64.5,40,2.592301
3000,1,64.5,40,2.649797
3000,1,64.5,40,3.105089
3000,1,64.5,40,2.526904
3000,1,64.5,40,3.505638
3000,1,64.5,40,2.868174
3000,1,64.5,40,2.841320
3000,1,64.5,40,3.108780
3000,1,64.5,40,2.621738
3000,1,64.5,40,3.343648
3000,1,64.5,40,2.532941
3000,1,64.5,40,3.141836
3000,1,64.5,40,3.075055
3000,1,64.5,40,2.556635
3000,1,64.5,40,3.182337
3000,1,64.5,40,2.503911
3000,1,64.5,40,3.482884
3000,1,64.5,40,2.981906
3000,1,64.5,40,2.458061
3000,1,64.5,40,3.155274
3000,1,64.5,40,2.496044
3000,1,64.5,40,3.247115
3000,1,64.5,40,2.957544
3000,1,64.5,40,2.062625
3000,1,64.5,40,2.886089
3000,1,64.5,40,2.089644
3000,1,64.5,40,3.313616
3000,1,64.5,40,2.163152
3000,1,64.5,40,2.986686
3000,1,73.47169811320755,40,5.147766
3000,1,73.47169811320755,40,4.034855
3000,1,73.47169811320755,40,4.200129
3000,1,73.47169811320755,40,4.384803
3000,1,73.47169811320755,40,4.406038
3000,1,73.47169811320755,40,3.854620
3000,1,73.47169811320755,40,4.395700
3000,1,73.47169811320755,40,4.243066
3000,1,73.47169811320755,40,2.412073
3000,1,73.47169811320755,40,3.945683
3000,1,73.47169811320755,40,4.394769
3000,1,73.47169811320755,40,4.180384
3000,1,73.47169811320755,40,4.185680
3000,1,73.47169811320755,40,4.297996
3000,1,73.47169811320755,40,4.353062
3000,1,73.47169811320755,40,4.410405
3000,1,73.47169811320755,40,4.404424
3000,1,73.47169811320755,40,4.211782
3000,1,73.47169811320755,40,4.468312
3000,1,73.47169811320755,40,4.368514
3000,1,73.47169811320755,40,4.328261
3000,1,73.47169811320755,40,3.708697
3000,1,73.47169811320755,40,4.427989
3000,1,73.47169811320755,40,4.309282
3000,1,73.47169811320755,40,4.395649
3000,1,73.47169811320755,40,4.400641
3000,1,73.47169811320755,40,4.521182
3000,1,73.47169811320755,40,4.422294
3000,1,73.47169811320755,40,4.229228
3000,1,73.47169811320755,40,4.408190
3000,1,73.47169811320755,40,4.371984
3000,1,73.47169811320755,40,3.630086
3000,1,73.47169811320755,40,4.111532
3000,1,73.47169811320755,40,4.351453
3000,1,73.47169811320755,40,4.092109
3000,1,73.47169811320755,40,4.478963
3000,1,73.47169811320755,40,4.255291
3000,1,73.47169811320755,40,4.522047
3000,1,73.47169811320755,40,3.412656
3000,1,73.47169811320755,40,4.000852
3000,1,74.75471698113208,40,2.447425
3000,1,74.75471698113208,40,3.404116
3000,1,74.75471698113208,40,3.899235
3000,1,74.75471698113208,40,4.063780
3000,1,74.75471698113208,40,3.873828
3000,1,74.75471698113208,40,3.248422
3000,1,74.75471698113208,40,3.931369
3000,1,74.75471698113208,40,4.057008
3000,1,74.75471698113208,40,2.123561
3000,1,74.75471698113208,40,3.165897
3000,1,74.75471698113208,40,4.002268
3000,1,74.75471698113208,40,3.901578
3000,1,74.75471698113208,40,4.024162
3000,1,74.75471698113208,40,3.936279
3000,1,74.75471698113208,40,4.058474
3000,1,74.75471698113208,40,4.067053
3000,1,74.75471698113208,40,4.018089
3000,1,74.75471698113208,40,3.914841
3000,1,74.75471698113208,40,4.418706
3000,1,74.75471698113208,40,4.305865
3000,1,74.75471698113208,40,3.925000
3000,1,74.75471698113208,40,3.088484
3000,1,74.75471698113208,40,4.807988
3000,1,74.75471698113208,40,3.918608
3000,1,74.75471698113208,40,3.935892
3000,1,74.75471698113208,40,3.825528
3000,1,74.75471698113208,40,4.052101
3000,1,74.75471698113208,40,4.340583
3000,1,74.75471698113208,40,3.646777
3000,1,74.75471698113208,40,3.952625
3000,1,74.75471698113208,40,3.841789
3000,1,74.75471698113208,40,3.363397
3000,1,74.75471698113208,40,3.846502
3000,1,74.75471698113208,40,3.947045
3000,1,74.75471698113208,40,3.504800
3000,1,74.75471698113208,40,4.008936
3000,1,74.75471698113208,40,3.561749
3000,1,74.75471698113208,40,3.851014
3000,1,74.75471698113208,40,3.194517
3000,1,74.75471698113208,40,3.895984
3000,1,86.11320754716981,40,6.032027
3000,1,86.11320754716981,40,4.253270
3000,1,86.11320754716981,40,3.479772
3000,1,86.11320754716981,40,3.674743
3000,1,86.11320754716981,40,2.730434
3000,1,86.11320754716981,40,3.642595
3000,1,86.11320754716981,40,3.646973
3000,1,86.11320754716981,40,3.215160
3000,1,86.11320754716981,40,2.083556
3000,1,86.11320754716981,40,2.720069
3000,1,86.11320754716981,40,3.450457
3000,1,86.11320754716981,40,3.641464
